date,time,sensor,status
2023/10/13,15:32:28,22,1.0
2023/10/13,15:32:28,25,1.0
2023/10/13,15:32:28,24,1.0
2023/10/13,15:32:27,23,1.0
2023/10/13,15:32:21,23,0.5
2023/10/13,15:32:21,24,0.5
2023/10/13,15:32:21,25,0.5
2023/10/13,15:32:17,25,1.0
2023/10/13,15:32:16,23,1.0
2023/10/13,15:32:16,24,1.0
2023/10/13,15:32:06,101,0.5
2023/10/13,15:32:05,102,0.5
2023/10/13,15:32:00,100,0.5
2023/10/13,15:31:48,103,1.0
2023/10/13,15:31:44,100,1.0
2023/10/13,15:31:44,11,0.5
2023/10/13,15:31:43,12,0.5
2023/10/13,15:31:41,11,1.0
2023/10/13,15:31:27,100,0.5
2023/10/13,15:31:21,11,0.5
2023/10/13,15:31:16,12,1.0
2023/10/13,15:31:15,101,1.0
2023/10/13,15:31:13,11,1.0
2023/10/13,15:31:12,102,1.0
2023/10/13,15:31:11,1,0.5
2023/10/13,15:31:04,100,1.0
2023/10/13,15:31:02,1,1.0
2023/10/13,15:23:57,103,0.5
2023/10/13,15:23:47,3,0.5
2023/10/13,15:23:47,2,0.5
2023/10/13,15:23:44,27,0.5
2023/10/13,15:23:44,3,1.0
2023/10/13,15:23:44,2,1.0
2023/10/13,15:23:43,100,1.0
2023/10/13,15:23:42,23,0.5
2023/10/13,15:23:41,27,1.0
2023/10/13,15:23:40,23,1.0
2023/10/13,15:23:39,25,1.0
2023/10/13,15:23:36,25,0.5
2023/10/13,15:23:33,25,1.0
2023/10/13,15:23:33,23,0.5
2023/10/13,15:23:29,25,0.5
2023/10/13,15:23:26,25,1.0
2023/10/13,15:23:26,23,1.0
2023/10/13,15:23:11,104,0.5
2023/10/13,15:23:04,27,0.5
2023/10/13,15:23:02,3,0.5
2023/10/13,15:23:00,41,0.5
2023/10/13,15:22:59,27,1.0
2023/10/13,15:22:58,62,0.5
2023/10/13,15:22:57,63,0.5
2023/10/13,15:22:57,103,1.0
2023/10/13,15:22:57,3,1.0
2023/10/13,15:22:57,41,1.0
2023/10/13,15:22:56,64,0.5
2023/10/13,15:22:54,62,1.0
2023/10/13,15:22:52,63,1.0
2023/10/13,15:22:51,64,1.0
2023/10/13,15:22:49,64,0.5
2023/10/13,15:22:48,66,0.5
2023/10/13,15:22:48,63,0.5
2023/10/13,15:22:45,66,1.0
2023/10/13,15:22:45,63,1.0
2023/10/13,15:22:44,62,0.5
2023/10/13,15:22:41,64,1.0
2023/10/13,15:22:40,106,0.5
2023/10/13,15:22:39,66,0.5
2023/10/13,15:22:37,64,0.5
2023/10/13,15:22:37,63,0.5
2023/10/13,15:22:37,66,1.0
2023/10/13,15:22:35,66,0.5
2023/10/13,15:22:34,62,1.0
2023/10/13,15:22:34,64,1.0
2023/10/13,15:22:32,64,0.5
2023/10/13,15:22:32,66,1.0
2023/10/13,15:22:29,64,1.0
2023/10/13,15:22:29,104,1.0
2023/10/13,15:22:29,63,1.0
2023/10/13,15:22:21,42,0.5
2023/10/13,15:22:16,3,0.5
2023/10/13,15:22:15,104,0.5
2023/10/13,15:22:15,42,1.0
2023/10/13,15:22:11,3,1.0
2023/10/13,15:22:09,1,0.5
2023/10/13,15:22:06,1,1.0
2023/10/13,15:22:04,63,0.5
2023/10/13,15:22:04,64,0.5
2023/10/13,15:22:00,106,1.0
2023/10/13,15:21:54,63,1.0
2023/10/13,15:21:54,64,1.0
2023/10/13,15:21:48,64,0.5
2023/10/13,15:21:48,66,0.5
2023/10/13,15:21:43,63,0.5
2023/10/13,15:21:41,66,1.0
2023/10/13,15:21:41,62,0.5
2023/10/13,15:21:39,64,1.0
2023/10/13,15:21:39,3,0.5
2023/10/13,15:21:39,63,1.0
2023/10/13,15:21:39,105,0.5
2023/10/13,15:21:38,66,0.5
2023/10/13,15:21:37,3,1.0
2023/10/13,15:21:37,64,0.5
2023/10/13,15:21:35,63,0.5
2023/10/13,15:21:35,66,1.0
2023/10/13,15:21:33,62,1.0
2023/10/13,15:21:29,64,1.0
2023/10/13,15:21:29,63,1.0
2023/10/13,15:21:28,104,1.0
2023/10/13,15:21:27,63,0.5
2023/10/13,15:21:24,63,1.0
2023/10/13,15:21:21,81,0.5
2023/10/13,15:21:21,63,0.5
2023/10/13,15:21:14,104,0.5
2023/10/13,15:21:02,105,1.0
2023/10/13,15:21:02,81,1.0
2023/10/13,15:21:01,64,0.5
2023/10/13,15:20:58,62,0.5
2023/10/13,15:20:58,63,1.0
2023/10/13,15:20:57,64,1.0
2023/10/13,15:20:55,64,0.5
2023/10/13,15:20:55,63,0.5
2023/10/13,15:20:54,66,0.5
2023/10/13,15:20:53,62,1.0
2023/10/13,15:20:50,63,1.0
2023/10/13,15:20:49,66,1.0
2023/10/13,15:20:48,64,1.0
2023/10/13,15:20:45,103,0.5
2023/10/13,15:20:42,64,0.5
2023/10/13,15:20:40,63,0.5
2023/10/13,15:20:38,62,0.5
2023/10/13,15:20:35,64,1.0
2023/10/13,15:20:35,66,0.5
2023/10/13,15:20:35,63,1.0
2023/10/13,15:20:32,66,1.0
2023/10/13,15:20:30,3,0.5
2023/10/13,15:20:30,61,0.5
2023/10/13,15:20:29,21,0.5
2023/10/13,15:20:29,62,1.0
2023/10/13,15:20:28,104,1.0
2023/10/13,15:20:27,22,0.5
2023/10/13,15:20:27,3,1.0
2023/10/13,15:20:26,24,0.5
